trajet_id,ville_depart,ville_arrivee,distance_km,duree_prevue_h,retard_min,prix_billet,nb_passagers,capacite_bus,type_bus,jour_semaine,periode_depart,condition_route,carburant_litre,satisfaction_client
33,Atakpamé,Dapaong,130.0,7.8,47.0,10729.0,,40.0,Climatisé,Mardi,Après-midi,,64.4,5
34,Dapaong,Kara,546.0,2.2,43.0,8946.0,15.0,40.0,Climatisé,Samedi,Après-midi,Moyenne,77.5,3
35,Dapaong,Kara,532.0,11.7,175.0,5130.0,15.0,70.0,Climatisé,Lundi,Après-midi,Mauvaise,56.1,1
36,Dapaong,Atakpamé,396.0,3.6,64.0,5794.0,59.0,40.0,Climatisé,Mardi,Matin,Bonne,31.7,1
37,Kara,Sokodé,403.0,11.9,158.0,5930.0,12.0,40.0,Standard,Vendredi,Après-midi,,,1
38,Tsévié,Sokodé,521.0,4.9,38.0,8301.0,48.0,,Climatisé,Samedi,Soir,,15.6,1
39,Atakpamé,Dapaong,283.0,11.2,25.0,,6.0,50.0,Standard,Jeudi,Soir,Bonne,60.2,3
40,Sokodé,Kara,91.0,8.2,77.0,9268.0,17.0,40.0,VIP,,Soir,Bonne,47.7,4
41,Kara,Sokodé,448.0,2.5,169.0,11504.0,,30.0,VIP,,Soir,Mauvaise,34.4,3
42,Dapaong,,508.0,4.2,155.0,,64.0,50.0,Standard,Vendredi,Après-midi,Moyenne,,2
43,Lomé,Kara,560.0,5.6,145.0,3276.0,59.0,60.0,,Mercredi,Après-midi,Mauvaise,42.2,2
44,Sokodé,Sokodé,571.0,5.9,52.0,2404.0,42.0,70.0,Climatisé,Mercredi,Après-midi,Moyenne,73.5,1
45,Sokodé,Kara,296.0,,151.0,7246.0,15.0,70.0,VIP,Mercredi,Soir,Bonne,39.4,5
46,,Sokodé,361.0,7.7,2.0,,68.0,70.0,VIP,Dimanche,Soir,Moyenne,17.1,2
47,Lomé,Kara,376.0,4.8,75.0,3372.0,18.0,70.0,Standard,Mardi,Soir,Moyenne,29.8,3
48,,Dapaong,308.0,2.4,109.0,4615.0,37.0,30.0,Climatisé,Mercredi,Après-midi,Mauvaise,43.2,5
49,,Tsévié,,8.8,50.0,4950.0,30.0,60.0,VIP,Jeudi,Après-midi,Bonne,27.6,3
50,Sokodé,Sokodé,640.0,6.4,78.0,6959.0,10.0,70.0,Standard,Samedi,Après-midi,Mauvaise,49.3,1
51,Sokodé,Sokodé,254.0,8.7,43.0,,37.0,40.0,VIP,,Après-midi,Moyenne,59.6,1
52,Tsévié,Kara,612.0,7.5,139.0,8192.0,41.0,70.0,Climatisé,Mercredi,Soir,,60.8,2
53,Sokodé,Dapaong,360.0,1.6,47.0,7522.0,41.0,70.0,VIP,Mardi,Matin,Moyenne,18.3,3
54,Dapaong,Tsévié,569.0,9.9,101.0,3880.0,36.0,70.0,Standard,Vendredi,Après-midi,Bonne,71.4,2
55,Atakpamé,Dapaong,184.0,9.6,133.0,11170.0,48.0,30.0,Standard,Vendredi,Soir,Bonne,69.4,3
56,Atakpamé,Atakpamé,408.0,5.7,1.0,7542.0,13.0,70.0,Standard,Mardi,Soir,Moyenne,76.6,2
57,Tsévié,Atakpamé,441.0,9.7,178.0,11144.0,16.0,60.0,Standard,Jeudi,Après-midi,Bonne,39.8,5
58,Dapaong,Tsévié,223.0,1.7,103.0,10094.0,6.0,30.0,Climatisé,Dimanche,Soir,Moyenne,44.2,3
59,Dapaong,Tsévié,178.0,6.0,145.0,7757.0,16.0,30.0,VIP,Mercredi,Soir,Bonne,22.6,3
60,Tsévié,Tsévié,115.0,6.0,171.0,9007.0,21.0,70.0,Standard,Jeudi,Soir,Bonne,33.5,1
61,Atakpamé,Tsévié,116.0,3.6,35.0,2124.0,49.0,30.0,Standard,Mardi,Matin,Mauvaise,50.6,2
62,Sokodé,,492.0,3.8,60.0,7164.0,15.0,50.0,Standard,Mardi,Matin,Bonne,33.9,4
63,Lomé,Atakpamé,573.0,2.0,138.0,,56.0,60.0,Climatisé,Vendredi,Matin,Moyenne,64.9,5
64,Dapaong,Sokodé,464.0,8.4,81.0,6059.0,41.0,30.0,Climatisé,,Matin,Mauvaise,27.7,3
65,Atakpamé,Kara,195.0,11.6,160.0,7808.0,39.0,30.0,Standard,,Matin,Mauvaise,54.3,4
66,Kara,Lomé,,11.2,146.0,3956.0,55.0,70.0,VIP,Vendredi,Soir,Bonne,,1
67,Atakpamé,,312.0,,31.0,2923.0,,,Climatisé,,Soir,Moyenne,42.5,4
68,Sokodé,Atakpamé,576.0,7.2,6.0,6246.0,56.0,40.0,Standard,,Soir,Mauvaise,75.2,4
69,Tsévié,Lomé,264.0,9.8,142.0,10154.0,10.0,50.0,Climatisé,Lundi,Matin,Mauvaise,29.7,1
70,Kara,Tsévié,585.0,5.0,21.0,5824.0,79.0,70.0,Climatisé,Jeudi,Soir,Bonne,79.7,2
71,Sokodé,Tsévié,,3.3,103.0,6505.0,51.0,,Standard,Dimanche,Matin,Bonne,16.7,4
72,Dapaong,Atakpamé,609.0,1.7,177.0,7567.0,23.0,30.0,,Lundi,Soir,Bonne,39.5,3
73,Lomé,Atakpamé,442.0,9.3,162.0,2765.0,,40.0,,Dimanche,Soir,Bonne,56.0,4
74,Kara,Atakpamé,113.0,4.3,112.0,,,40.0,Climatisé,Samedi,Matin,,15.8,5
75,Dapaong,Lomé,536.0,3.5,151.0,2016.0,49.0,70.0,VIP,Jeudi,Matin,Moyenne,61.0,2
76,Sokodé,Tsévié,594.0,10.9,36.0,11305.0,67.0,30.0,Climatisé,,Soir,Mauvaise,42.5,3
77,Kara,Sokodé,442.0,10.2,99.0,11193.0,9.0,40.0,VIP,Vendredi,Soir,Moyenne,56.9,4
78,Kara,Lomé,359.0,9.8,13.0,4080.0,35.0,50.0,VIP,Mardi,Soir,Mauvaise,74.3,2
79,Atakpamé,,,2.1,154.0,4243.0,16.0,50.0,VIP,Mercredi,Soir,Moyenne,42.9,1
80,Dapaong,Atakpamé,80.0,11.3,44.0,3908.0,38.0,40.0,Climatisé,Dimanche,Soir,Bonne,58.4,4
81,,Sokodé,287.0,6.2,,11927.0,51.0,40.0,Climatisé,Jeudi,Soir,Bonne,67.4,5
82,,Kara,,,62.0,6298.0,,,Climatisé,,Matin,Moyenne,19.3,5
83,Lomé,Tsévié,52.0,9.2,107.0,11982.0,50.0,,Climatisé,Lundi,Soir,Mauvaise,16.2,4
84,Lomé,Tsévié,300.0,1.9,162.0,2400.0,19.0,30.0,Climatisé,Mercredi,Après-midi,Bonne,27.0,1
85,Atakpamé,Tsévié,395.0,3.1,39.0,3140.0,43.0,50.0,VIP,Jeudi,Matin,Moyenne,22.0,2
86,Kara,,425.0,5.9,121.0,,46.0,40.0,Climatisé,Mardi,Matin,Mauvaise,52.2,4
87,Atakpamé,Kara,192.0,11.7,53.0,4136.0,11.0,50.0,VIP,Jeudi,Matin,,50.1,5
88,Atakpamé,Atakpamé,637.0,1.9,1.0,2517.0,43.0,30.0,Standard,Dimanche,Soir,Moyenne,78.4,4
89,Atakpamé,Kara,519.0,2.1,172.0,6446.0,57.0,,Standard,Lundi,Soir,,22.3,5
90,Tsévié,Sokodé,649.0,,151.0,11313.0,16.0,40.0,VIP,Samedi,Matin,Mauvaise,16.2,5
91,Kara,Sokodé,130.0,4.6,29.0,3330.0,69.0,70.0,Climatisé,Mercredi,Soir,Mauvaise,22.3,4
92,,Atakpamé,524.0,,131.0,1871.0,16.0,60.0,Climatisé,Lundi,Matin,Mauvaise,,4
93,Sokodé,Sokodé,640.0,3.3,105.0,4301.0,8.0,60.0,,Jeudi,Matin,Moyenne,56.9,4
94,Atakpamé,Atakpamé,480.0,8.9,96.0,9753.0,67.0,,Standard,Jeudi,Matin,Mauvaise,15.6,2
95,Atakpamé,Atakpamé,285.0,9.1,145.0,7220.0,23.0,70.0,Standard,Mercredi,Matin,Mauvaise,25.2,3
96,Atakpamé,,,,8.0,7881.0,39.0,70.0,VIP,Samedi,Matin,Bonne,,2
97,Atakpamé,Tsévié,,7.2,43.0,10339.0,69.0,70.0,Standard,Vendredi,Matin,Mauvaise,31.6,5
98,,Kara,642.0,7.6,99.0,10378.0,41.0,50.0,,Vendredi,Soir,Bonne,28.2,3
99,Kara,Lomé,283.0,10.1,153.0,3572.0,16.0,40.0,Climatisé,Mercredi,Après-midi,Moyenne,46.5,1
100,,,574.0,,145.0,10279.0,5.0,40.0,Climatisé,Lundi,Soir,Bonne,39.2,5
101,Kara,Dapaong,540.0,,133.0,3985.0,48.0,50.0,Standard,Mardi,Soir,,70.2,4
102,Dapaong,Dapaong,473.0,10.1,68.0,,59.0,,VIP,Jeudi,Matin,Moyenne,20.8,2
103,,Atakpamé,164.0,,71.0,,57.0,40.0,Standard,Lundi,,Moyenne,17.5,3
104,Kara,Dapaong,203.0,4.5,71.0,8666.0,20.0,30.0,Standard,Samedi,,Bonne,78.4,4
105,Tsévié,Kara,415.0,9.2,75.0,2949.0,51.0,40.0,Climatisé,,Matin,Moyenne,19.0,3
106,Sokodé,,228.0,8.8,87.0,,63.0,60.0,Climatisé,Jeudi,Soir,Moyenne,44.7,5
107,,Kara,93.0,3.0,128.0,7301.0,21.0,40.0,Standard,Mardi,Matin,Bonne,62.6,5
108,Dapaong,,206.0,11.0,,11013.0,25.0,50.0,Standard,Vendredi,Matin,Moyenne,50.0,5
109,Atakpamé,Lomé,104.0,3.5,89.0,8579.0,52.0,50.0,Standard,,Soir,Bonne,17.5,4
110,Kara,Tsévié,173.0,2.2,64.0,6512.0,6.0,30.0,VIP,Samedi,Soir,Bonne,76.4,2
111,Tsévié,Lomé,563.0,1.5,132.0,5541.0,64.0,40.0,VIP,,Matin,Mauvaise,52.6,2
112,Lomé,Kara,482.0,9.6,173.0,5575.0,23.0,40.0,VIP,Jeudi,Après-midi,Bonne,21.8,4
113,Tsévié,Lomé,635.0,1.5,157.0,8767.0,20.0,50.0,Standard,Jeudi,Après-midi,Moyenne,37.7,5
114,,Tsévié,242.0,4.1,68.0,3543.0,36.0,60.0,Climatisé,Lundi,Après-midi,Bonne,41.6,5
115,,Atakpamé,225.0,11.7,,10226.0,16.0,,VIP,Vendredi,Soir,Moyenne,31.8,4
116,Atakpamé,Tsévié,449.0,2.6,89.0,9893.0,20.0,30.0,Climatisé,Mercredi,Après-midi,Mauvaise,16.4,2
117,Lomé,Kara,512.0,7.7,131.0,9012.0,67.0,40.0,VIP,Jeudi,,Bonne,65.3,1
118,Kara,Tsévié,585.0,2.1,75.0,6789.0,20.0,60.0,VIP,Dimanche,Après-midi,Moyenne,23.0,3
119,Tsévié,Dapaong,206.0,6.4,120.0,9827.0,5.0,70.0,VIP,Samedi,Matin,Bonne,45.7,1
120,Kara,Kara,149.0,8.0,144.0,11524.0,25.0,70.0,VIP,,Soir,Moyenne,53.0,5
121,,Tsévié,397.0,,81.0,5930.0,57.0,70.0,,Vendredi,Matin,Moyenne,21.2,1
122,Atakpamé,Tsévié,632.0,8.5,150.0,7644.0,19.0,50.0,VIP,Jeudi,Après-midi,Moyenne,38.1,1
123,,Dapaong,227.0,3.1,98.0,3591.0,20.0,60.0,Climatisé,Vendredi,Matin,Mauvaise,50.8,4
124,,Kara,88.0,8.9,120.0,3408.0,52.0,70.0,Standard,Mercredi,Matin,Moyenne,55.6,5
125,Atakpamé,Atakpamé,356.0,1.8,24.0,9742.0,,50.0,VIP,Jeudi,Après-midi,Mauvaise,19.4,2
126,,Sokodé,144.0,4.6,21.0,5656.0,51.0,30.0,VIP,Samedi,Matin,Moyenne,16.5,1
127,Tsévié,Atakpamé,142.0,11.2,25.0,5427.0,11.0,,Climatisé,Mercredi,Soir,,17.8,4
128,Dapaong,Atakpamé,,3.4,134.0,10775.0,,70.0,Climatisé,Mardi,Soir,Bonne,52.7,5
129,Kara,Tsévié,281.0,3.1,,8016.0,37.0,,VIP,Mardi,Après-midi,,42.5,4
130,Dapaong,Sokodé,637.0,5.8,,2409.0,39.0,50.0,VIP,Jeudi,Soir,Bonne,56.1,5
131,Dapaong,Dapaong,221.0,6.1,20.0,7057.0,28.0,,Standard,Mercredi,Après-midi,Bonne,35.4,5
132,Atakpamé,Atakpamé,94.0,,99.0,5449.0,23.0,50.0,VIP,Jeudi,Matin,Mauvaise,35.4,3
133,Dapaong,Sokodé,144.0,3.5,38.0,3948.0,30.0,,Climatisé,Mardi,Soir,Bonne,63.6,2
134,Atakpamé,Tsévié,157.0,4.0,112.0,5596.0,44.0,30.0,Climatisé,Jeudi,Soir,Moyenne,17.7,2
135,Lomé,Sokodé,114.0,,116.0,3826.0,40.0,40.0,Climatisé,Jeudi,Matin,Bonne,,3
136,Tsévié,,591.0,2.7,92.0,11915.0,13.0,60.0,VIP,Dimanche,Soir,Mauvaise,43.2,5
137,Dapaong,Tsévié,103.0,2.7,15.0,8325.0,13.0,70.0,Standard,Samedi,Soir,Mauvaise,27.2,4
138,Dapaong,Lomé,166.0,3.2,,,35.0,70.0,Standard,Lundi,Matin,Moyenne,36.1,1
139,Dapaong,Kara,444.0,11.0,36.0,5808.0,62.0,30.0,Climatisé,Samedi,Après-midi,Bonne,75.1,5
140,Dapaong,Lomé,229.0,10.4,177.0,10413.0,7.0,50.0,Standard,Lundi,Soir,Bonne,23.2,1
141,Lomé,Tsévié,604.0,11.5,178.0,11507.0,26.0,60.0,Climatisé,Mardi,Après-midi,Moyenne,41.5,3
142,Lomé,Atakpamé,295.0,11.3,29.0,4297.0,62.0,50.0,VIP,Lundi,Après-midi,,64.1,3
143,Kara,Kara,550.0,,123.0,1670.0,8.0,70.0,VIP,Dimanche,Soir,Mauvaise,18.3,4
144,Lomé,,578.0,10.1,144.0,6230.0,41.0,70.0,Climatisé,Lundi,Soir,,29.2,3
145,Lomé,Sokodé,107.0,5.1,134.0,2367.0,63.0,60.0,VIP,Lundi,Soir,Bonne,58.3,5
146,Dapaong,Tsévié,,10.0,170.0,,41.0,40.0,VIP,Mardi,Après-midi,Mauvaise,75.8,5
147,Sokodé,Tsévié,449.0,11.4,74.0,5232.0,27.0,60.0,Standard,Dimanche,Matin,Moyenne,63.4,2
148,Sokodé,Kara,404.0,8.9,57.0,8352.0,55.0,30.0,Standard,Vendredi,Soir,Bonne,46.5,4
149,Tsévié,Dapaong,195.0,10.4,57.0,7212.0,,70.0,Standard,Lundi,Soir,,24.4,2
150,Tsévié,Sokodé,377.0,7.4,103.0,11143.0,24.0,60.0,Climatisé,Lundi,Après-midi,,44.9,1
151,Lomé,Dapaong,,7.0,74.0,1592.0,21.0,60.0,Climatisé,Vendredi,Soir,Mauvaise,70.7,2
152,Kara,Dapaong,260.0,11.5,22.0,10116.0,14.0,70.0,Climatisé,Samedi,Soir,Moyenne,64.6,5
153,Lomé,,285.0,6.0,128.0,6052.0,30.0,30.0,Climatisé,Mercredi,Après-midi,Bonne,58.3,1
154,Sokodé,Dapaong,414.0,2.5,64.0,10273.0,32.0,50.0,Climatisé,Mardi,Matin,,56.7,5
155,Dapaong,Tsévié,177.0,3.8,157.0,11325.0,20.0,50.0,Climatisé,Mardi,Après-midi,Bonne,21.9,1
156,Dapaong,Kara,299.0,8.6,39.0,5614.0,17.0,30.0,Climatisé,Mercredi,Après-midi,Bonne,53.0,1
157,Kara,Atakpamé,236.0,5.8,113.0,1946.0,61.0,60.0,VIP,Mercredi,Matin,Mauvaise,35.3,3
158,Sokodé,Dapaong,634.0,9.6,44.0,,59.0,50.0,VIP,Vendredi,Matin,Mauvaise,57.1,2
159,Atakpamé,Lomé,363.0,7.1,46.0,8203.0,33.0,60.0,Climatisé,,Après-midi,Moyenne,50.9,1
160,Kara,Dapaong,342.0,2.9,,2283.0,23.0,30.0,VIP,Lundi,Après-midi,Bonne,73.6,4
161,Tsévié,Atakpamé,,8.5,173.0,4370.0,21.0,40.0,VIP,Lundi,Matin,Moyenne,73.3,1
162,Dapaong,Kara,503.0,11.5,136.0,9788.0,26.0,40.0,Standard,Jeudi,Soir,Mauvaise,74.4,2
163,Atakpamé,Dapaong,,6.9,7.0,9269.0,16.0,60.0,VIP,Jeudi,Soir,Bonne,35.7,2
164,Kara,Sokodé,230.0,10.7,36.0,9405.0,,,Climatisé,Lundi,Soir,Moyenne,,1
165,Kara,Atakpamé,437.0,11.7,86.0,8908.0,34.0,,Standard,Mardi,Après-midi,Mauvaise,27.3,1
166,Lomé,Dapaong,394.0,4.5,62.0,9064.0,38.0,40.0,Climatisé,Lundi,Matin,Mauvaise,67.9,1
167,Kara,Tsévié,291.0,7.0,73.0,10802.0,9.0,40.0,VIP,Jeudi,Soir,Bonne,,4
168,Atakpamé,Tsévié,498.0,1.7,158.0,6089.0,,50.0,,Samedi,Matin,,47.2,3
169,Kara,Atakpamé,319.0,7.0,57.0,4512.0,40.0,60.0,VIP,Dimanche,Après-midi,Moyenne,47.8,5
170,Lomé,Atakpamé,344.0,3.7,,3307.0,48.0,40.0,Climatisé,Lundi,Matin,Bonne,,3
171,Tsévié,Atakpamé,106.0,5.8,,8738.0,24.0,50.0,VIP,Mercredi,,Mauvaise,32.4,4
172,Kara,Atakpamé,560.0,2.2,59.0,5660.0,11.0,50.0,VIP,Vendredi,Soir,Bonne,67.9,2
173,Sokodé,Tsévié,537.0,,,7697.0,68.0,70.0,VIP,Samedi,Soir,Mauvaise,,5
174,Tsévié,Lomé,,7.5,55.0,7156.0,10.0,60.0,VIP,Vendredi,Après-midi,Mauvaise,48.4,2
175,Sokodé,Lomé,337.0,8.2,48.0,4892.0,6.0,50.0,Climatisé,Lundi,Soir,Moyenne,41.6,1
176,Sokodé,Lomé,385.0,5.6,,5070.0,69.0,60.0,Standard,Jeudi,Matin,Moyenne,22.7,1
177,Tsévié,Atakpamé,644.0,2.5,121.0,2307.0,43.0,60.0,VIP,Vendredi,Matin,Bonne,27.7,3
178,Kara,Kara,,5.4,42.0,,39.0,70.0,Climatisé,Mercredi,Soir,Bonne,78.2,3
179,Atakpamé,Sokodé,124.0,7.9,32.0,8773.0,41.0,70.0,VIP,,Après-midi,Bonne,35.3,5
180,Sokodé,Tsévié,355.0,7.4,4.0,4534.0,7.0,50.0,VIP,Samedi,Matin,Bonne,37.2,2
181,Atakpamé,,331.0,9.4,35.0,11076.0,5.0,,VIP,Mercredi,Matin,Moyenne,25.9,1
182,Kara,Atakpamé,510.0,5.2,92.0,11930.0,26.0,40.0,Standard,Lundi,Matin,Moyenne,76.3,4
183,Kara,Lomé,534.0,11.4,150.0,2799.0,42.0,50.0,Standard,Mercredi,Soir,Moyenne,48.5,5
184,Atakpamé,Sokodé,122.0,8.6,29.0,4233.0,6.0,60.0,Climatisé,Mardi,Matin,Mauvaise,55.2,2
185,Atakpamé,Lomé,509.0,7.2,149.0,10728.0,56.0,,Climatisé,Mercredi,Matin,Moyenne,33.4,2
186,Sokodé,Tsévié,293.0,2.2,111.0,4607.0,49.0,40.0,VIP,Samedi,Soir,Moyenne,19.0,4
187,Dapaong,Tsévié,522.0,7.5,103.0,2048.0,65.0,50.0,Standard,Lundi,Après-midi,Bonne,69.5,1
188,Lomé,Atakpamé,246.0,10.1,110.0,8205.0,,,VIP,Dimanche,Après-midi,Moyenne,72.3,3
189,Atakpamé,Lomé,438.0,5.1,2.0,7441.0,36.0,40.0,Climatisé,Vendredi,Après-midi,Mauvaise,,1
190,Sokodé,Kara,144.0,10.0,95.0,3079.0,59.0,70.0,VIP,Lundi,Matin,Moyenne,74.1,5
191,Atakpamé,Atakpamé,463.0,10.6,82.0,9881.0,14.0,,Climatisé,Samedi,Matin,Moyenne,74.6,3
192,,Kara,342.0,9.5,30.0,7592.0,18.0,50.0,Standard,Samedi,Matin,Mauvaise,75.0,4
193,Sokodé,Dapaong,622.0,5.7,81.0,3165.0,60.0,70.0,,Lundi,Après-midi,Mauvaise,21.3,2
194,Sokodé,Dapaong,,2.4,9.0,,61.0,40.0,Standard,Jeudi,Matin,Mauvaise,43.2,5
195,Atakpamé,,203.0,7.5,95.0,11997.0,64.0,60.0,Climatisé,Dimanche,Matin,Bonne,31.3,3
196,Kara,Sokodé,,5.8,,5163.0,36.0,70.0,Climatisé,Mardi,,Bonne,20.9,1
197,Atakpamé,Lomé,498.0,5.4,85.0,6184.0,66.0,30.0,Climatisé,Vendredi,Soir,,53.8,2
198,Kara,Lomé,512.0,3.0,155.0,6038.0,42.0,60.0,,Mercredi,Après-midi,Bonne,55.1,4
199,Atakpamé,Atakpamé,,8.5,172.0,11552.0,,60.0,VIP,Samedi,Après-midi,,44.1,5
200,Atakpamé,Kara,177.0,6.1,59.0,2529.0,45.0,30.0,VIP,,Soir,Moyenne,63.7,1
201,Atakpamé,Kara,337.0,5.3,89.0,5756.0,41.0,,Standard,Samedi,Matin,Bonne,23.7,4
202,Tsévié,Atakpamé,,11.4,7.0,6871.0,63.0,,Climatisé,Dimanche,Après-midi,Bonne,16.1,1
203,Atakpamé,Dapaong,628.0,5.6,72.0,6280.0,64.0,70.0,Standard,Vendredi,Après-midi,,24.0,2
204,Lomé,Kara,538.0,3.3,5.0,9796.0,9.0,60.0,,Mercredi,Après-midi,Bonne,77.3,5
205,Lomé,Lomé,477.0,2.2,128.0,8093.0,52.0,30.0,VIP,Samedi,Matin,Mauvaise,37.2,1
206,Dapaong,Sokodé,586.0,11.9,26.0,,11.0,40.0,Standard,,Après-midi,Bonne,48.4,1
207,Dapaong,Kara,161.0,5.4,51.0,2946.0,,70.0,Standard,Lundi,Après-midi,Bonne,71.7,4
208,Tsévié,Lomé,139.0,10.3,82.0,11274.0,18.0,70.0,VIP,Vendredi,Matin,Bonne,57.8,1
209,,,141.0,2.3,119.0,,30.0,,VIP,Lundi,Soir,Bonne,20.5,4
210,Lomé,Sokodé,,6.7,130.0,2113.0,26.0,30.0,Standard,Mercredi,Matin,,43.7,4
211,Dapaong,Dapaong,603.0,5.7,134.0,2232.0,39.0,50.0,VIP,Jeudi,Matin,,62.5,5
212,Kara,Lomé,315.0,4.3,53.0,1633.0,64.0,50.0,Climatisé,Jeudi,Soir,Bonne,45.1,4
213,Sokodé,Dapaong,287.0,9.3,40.0,9329.0,62.0,30.0,VIP,Lundi,Soir,Mauvaise,21.5,3
214,Tsévié,Tsévié,390.0,8.3,21.0,11441.0,54.0,60.0,Climatisé,Jeudi,Après-midi,Mauvaise,23.2,1
215,Kara,Atakpamé,438.0,2.2,65.0,4189.0,12.0,40.0,Climatisé,Jeudi,Après-midi,,16.3,5
216,Tsévié,Lomé,553.0,4.5,16.0,4658.0,59.0,50.0,Standard,Dimanche,Après-midi,Moyenne,39.5,3
217,Dapaong,,454.0,,137.0,4641.0,,70.0,Standard,,Après-midi,Bonne,36.2,3
218,Kara,Atakpamé,170.0,11.1,71.0,5747.0,59.0,60.0,Standard,Dimanche,Soir,Mauvaise,43.2,2
219,,Atakpamé,261.0,3.9,80.0,6004.0,27.0,60.0,Climatisé,Lundi,Soir,Moyenne,66.6,4
220,Dapaong,Dapaong,555.0,6.9,95.0,,,70.0,Standard,Mercredi,Matin,Bonne,15.8,5
221,Sokodé,Dapaong,143.0,11.6,,6568.0,24.0,60.0,VIP,Samedi,Après-midi,Mauvaise,43.9,4
222,Sokodé,Atakpamé,529.0,11.9,167.0,8286.0,24.0,,Climatisé,Vendredi,Matin,Mauvaise,74.7,3
223,Dapaong,,,6.8,76.0,11136.0,22.0,40.0,,Jeudi,Matin,Bonne,48.9,1
224,,Lomé,395.0,5.4,100.0,9106.0,62.0,70.0,Climatisé,Mardi,Matin,Bonne,25.3,4
225,Lomé,Tsévié,445.0,6.2,76.0,9105.0,31.0,40.0,VIP,Mercredi,Après-midi,Mauvaise,42.1,3
