trajet_id,ville_depart,ville_arrivee,distance_km,duree_prevue_h,retard_min,prix_billet,nb_passagers,capacite_bus,type_bus,jour_semaine,periode_depart,condition_route,carburant_litre,satisfaction_client,taux_remplissage,retard_par_km,retard_par_heure,conso_par_km,efficacite_economique,revenu_trajet,vitesse_moyenne,retard_significatif,categorie_remplissage
11,Lomé,Dapaong,381.0,11.7,55.0,8641.0,30.0,30.0,VIP,Dimanche,Après-midi,Moyenne,44.3,1,100.0,0.14435695538057744,4.700854700854701,0.11627296587926508,252.317880794702,259230.0,32.56410256410257,1,Élevé
12,Kara,Tsévié,355.0,9.5,4.0,10487.0,39.0,40.0,Standard,Mardi,Après-midi,Mauvaise,73.6,5,97.5,0.011267605633802818,0.42105263157894735,0.20732394366197182,185.5898123324397,408993.0,37.36842105263158,0,Élevé
13,Kara,Atakpamé,59.0,5.8,146.0,3269.0,25.0,70.0,Climatisé,Samedi,Matin,Bonne,35.0,2,35.714285714285715,2.4745762711864407,25.17241379310345,0.5932203389830508,40.97222222222222,81725.0,10.172413793103448,1,Faible
14,Lomé,Kara,637.0,10.7,33.0,6599.0,7.0,40.0,Climatisé,Jeudi,Soir,Moyenne,64.6,3,17.5,0.05180533751962323,3.0841121495327104,0.10141287284144426,67.97256097560977,46193.0,59.532710280373834,1,Faible
15,Lomé,Atakpamé,185.0,7.0,53.0,2619.0,21.0,30.0,Climatisé,Vendredi,Soir,Moyenne,47.349999999999994,1,70.0,0.2864864864864865,7.571428571428571,0.25594594594594594,80.35160289555327,54999.0,26.428571428571427,1,Moyen
16,Kara,Dapaong,568.0,11.9,138.0,9575.0,59.0,70.0,VIP,Dimanche,Après-midi,Mauvaise,60.9,1,84.28571428571429,0.24295774647887325,11.596638655462185,0.10721830985915493,541.3893376413571,564925.0,47.73109243697479,1,Élevé
17,Atakpamé,Sokodé,257.0,11.7,97.0,10690.0,50.0,50.0,VIP,Jeudi,Après-midi,Mauvaise,15.9,5,100.0,0.377431906614786,8.290598290598291,0.061867704280155644,760.3550295857989,534500.0,21.965811965811966,1,Élevé
18,Tsévié,Dapaong,358.0,6.9,25.0,9262.0,40.0,40.0,Standard,Vendredi,Soir,Bonne,41.9,3,100.0,0.06983240223463687,3.623188405797101,0.1170391061452514,333.79953379953383,370480.0,51.88405797101449,0,Élevé
19,Dapaong,Atakpamé,508.0,3.3,93.0,11243.0,60.0,70.0,Climatisé,Jeudi,Soir,Moyenne,68.1,1,85.71428571428571,0.1830708661417323,28.181818181818183,0.1340551181102362,441.09985528219977,674580.0,153.93939393939394,1,Élevé
20,Sokodé,Sokodé,77.0,10.3,165.0,4937.0,18.0,30.0,Standard,Samedi,Matin,Moyenne,61.9,3,60.0,2.142857142857143,16.019417475728154,0.8038961038961039,22.034976152623212,88866.0,7.475728155339805,1,Moyen
21,Lomé,Dapaong,399.0,5.3,93.0,7018.0,50.0,50.0,Standard,Vendredi,Après-midi,Bonne,55.8,2,100.0,0.23308270676691728,17.547169811320757,0.13984962406015036,351.2323943661972,350900.0,75.28301886792453,1,Élevé
22,Dapaong,Kara,355.0,4.1,112.0,6156.0,46.0,50.0,VIP,Lundi,Matin,Bonne,39.1,2,92.0,0.3154929577464789,27.31707317073171,0.11014084507042254,407.23192019950125,283176.0,86.58536585365854,1,Élevé
23,Atakpamé,Kara,267.0,7.1,103.0,5793.0,34.0,60.0,VIP,Lundi,Soir,Moyenne,51.6,3,56.666666666666664,0.3857677902621723,14.507042253521128,0.19325842696629214,172.58555133079847,196962.0,37.605633802816904,1,Moyen
24,Atakpamé,Dapaong,68.0,8.6,110.0,6809.0,63.0,70.0,Standard,Mercredi,Après-midi,Mauvaise,15.2,2,90.0,1.6176470588235294,12.790697674418606,0.22352941176470587,264.44444444444446,428967.0,7.906976744186047,1,Élevé
25,Sokodé,Sokodé,156.0,4.8,93.0,10830.0,30.0,30.0,Climatisé,Mardi,Matin,Moyenne,33.2,4,100.0,0.5961538461538461,19.375,0.21282051282051284,136.8421052631579,324900.0,32.5,1,Élevé
26,Dapaong,Sokodé,192.0,10.5,142.0,6599.0,31.0,60.0,Standard,Dimanche,Soir,Bonne,16.7,1,51.66666666666667,0.7395833333333334,13.523809523809524,0.08697916666666666,336.271186440678,204569.0,18.285714285714285,1,Moyen
27,Sokodé,Lomé,355.0,6.8,174.0,9042.0,22.0,30.0,VIP,Vendredi,Soir,Moyenne,50.0,5,73.33333333333333,0.49014084507042255,25.58823529411765,0.14084507042253522,153.13725490196077,198924.0,52.20588235294118,1,Moyen
28,Dapaong,Dapaong,287.0,3.9,130.0,2913.0,40.0,40.0,Climatisé,Mardi,Soir,Bonne,33.6,4,100.0,0.4529616724738676,33.333333333333336,0.11707317073170732,331.7919075144508,116520.0,73.58974358974359,1,Élevé
29,Lomé,Atakpamé,591.0,8.6,93.0,7781.0,30.0,30.0,VIP,Mercredi,Matin,Bonne,58.7,4,100.0,0.15736040609137056,10.813953488372093,0.09932318104906938,296.98492462311555,233430.0,68.72093023255815,1,Élevé
30,Tsévié,Tsévié,341.0,6.4,0.0,4947.0,8.0,50.0,VIP,Mardi,Soir,Bonne,78.9,3,16.0,0.0,0.0,0.2313782991202346,34.14267834793492,39576.0,53.28125,0,Faible
31,Lomé,Dapaong,585.0,3.1,76.0,2565.0,18.0,60.0,VIP,Mardi,Soir,Moyenne,63.1,1,30.0,0.12991452991452992,24.516129032258064,0.10786324786324787,164.27457098283932,46170.0,188.70967741935485,1,Faible
32,Kara,Tsévié,391.0,2.3,54.0,6599.0,30.0,40.0,VIP,Vendredi,Après-midi,Bonne,76.7,3,75.0,0.13810741687979539,23.47826086956522,0.19616368286445013,150.96525096525096,197970.0,170.0,1,Moyen
33,Atakpamé,Dapaong,130.0,7.8,47.0,10729.0,39.0,40.0,Climatisé,Mardi,Après-midi,Mauvaise,64.4,5,97.5,0.36153846153846153,6.0256410256410255,0.4953846153846154,77.5229357798165,418431.0,16.666666666666668,1,Élevé
34,Dapaong,Kara,546.0,2.2,43.0,8946.0,15.0,40.0,Climatisé,Samedi,Après-midi,Moyenne,77.5,3,37.5,0.07875457875457875,19.545454545454543,0.14194139194139194,104.3312101910828,134190.0,248.18181818181816,1,Faible
35,Dapaong,Kara,532.0,11.7,175.0,5130.0,15.0,70.0,Climatisé,Lundi,Après-midi,Mauvaise,56.1,1,21.428571428571427,0.32894736842105265,14.957264957264957,0.10545112781954888,139.75481611208406,76950.0,45.47008547008547,1,Faible
36,Dapaong,Atakpamé,396.0,3.6,64.0,5794.0,40.0,40.0,Climatisé,Mardi,Matin,Bonne,31.7,1,100.0,0.16161616161616163,17.77777777777778,0.08005050505050505,484.4036697247706,231760.0,110.0,1,Élevé
37,Kara,Sokodé,403.0,11.9,158.0,5930.0,12.0,40.0,Standard,Vendredi,Après-midi,Mauvaise,47.349999999999994,1,30.0,0.3920595533498759,13.277310924369747,0.11749379652605457,100.02068252326785,71160.0,33.865546218487395,1,Faible
38,Tsévié,Sokodé,521.0,4.9,38.0,8301.0,48.0,50.0,Climatisé,Samedi,Soir,Mauvaise,15.6,1,96.0,0.07293666026871401,7.755102040816326,0.029942418426103647,1506.5060240963853,398448.0,106.3265306122449,1,Élevé
39,Atakpamé,Dapaong,283.0,11.2,25.0,6599.0,6.0,50.0,Standard,Jeudi,Soir,Bonne,60.2,3,12.0,0.08833922261484099,2.232142857142857,0.21272084805653713,27.745098039215684,39594.0,25.267857142857146,0,Faible
40,Sokodé,Kara,91.0,8.2,77.0,9268.0,17.0,40.0,VIP,Mercredi,Soir,Bonne,47.7,4,42.5,0.8461538461538461,9.390243902439025,0.5241758241758242,31.765913757700204,157556.0,11.097560975609756,1,Faible
41,Kara,Sokodé,448.0,2.5,169.0,11504.0,30.0,30.0,VIP,Mercredi,Soir,Mauvaise,34.4,3,100.0,0.37723214285714285,67.6,0.07678571428571428,379.66101694915255,345120.0,179.2,1,Élevé
42,Dapaong,Sokodé,508.0,4.2,155.0,6599.0,50.0,50.0,Standard,Vendredi,Après-midi,Moyenne,47.349999999999994,2,100.0,0.3051181102362205,36.904761904761905,0.09320866141732283,525.3360910031024,329950.0,120.95238095238095,1,Élevé
43,Lomé,Kara,560.0,5.6,145.0,3276.0,59.0,60.0,VIP,Mercredi,Après-midi,Mauvaise,42.2,2,98.33333333333333,0.25892857142857145,25.892857142857146,0.07535714285714286,764.8148148148148,193284.0,100.0,1,Élevé
44,Sokodé,Sokodé,571.0,5.9,52.0,2404.0,42.0,70.0,Climatisé,Mercredi,Après-midi,Moyenne,73.5,1,60.0,0.09106830122591944,8.813559322033898,0.1287215411558669,321.90604026845637,100968.0,96.77966101694915,1,Moyen
45,Sokodé,Kara,296.0,6.9,151.0,7246.0,15.0,70.0,VIP,Mercredi,Soir,Bonne,39.4,5,21.428571428571427,0.5101351351351351,21.884057971014492,0.1331081081081081,109.9009900990099,108690.0,42.89855072463768,1,Faible
46,Atakpamé,Sokodé,361.0,7.7,2.0,6599.0,68.0,70.0,VIP,Dimanche,Soir,Moyenne,17.1,2,97.14285714285714,0.00554016620498615,0.2597402597402597,0.04736842105263158,1356.2430939226517,448732.0,46.883116883116884,0,Élevé
47,Lomé,Kara,376.0,4.8,75.0,3372.0,18.0,70.0,Standard,Mardi,Soir,Moyenne,29.8,3,25.71428571428571,0.19946808510638298,15.625,0.07925531914893617,219.74025974025975,60696.0,78.33333333333334,1,Faible
48,Atakpamé,Dapaong,308.0,2.4,109.0,4615.0,30.0,30.0,Climatisé,Mercredi,Après-midi,Mauvaise,43.2,5,100.0,0.3538961038961039,45.41666666666667,0.14025974025974028,209.0497737556561,138450.0,128.33333333333334,1,Élevé
49,Atakpamé,Tsévié,355.0,8.8,50.0,4950.0,30.0,60.0,VIP,Jeudi,Après-midi,Bonne,27.6,3,50.0,0.14084507042253522,5.681818181818182,0.07774647887323945,372.37762237762234,148500.0,40.340909090909086,1,Faible
50,Sokodé,Sokodé,640.0,6.4,78.0,6959.0,10.0,70.0,Standard,Samedi,Après-midi,Mauvaise,49.3,1,14.285714285714285,0.121875,12.1875,0.07703125,127.23658051689861,69590.0,100.0,1,Faible
51,Sokodé,Sokodé,254.0,8.7,43.0,6599.0,37.0,40.0,VIP,Mercredi,Après-midi,Moyenne,59.6,1,92.5,0.16929133858267717,4.942528735632185,0.2346456692913386,155.08250825082507,244163.0,29.195402298850578,1,Élevé
52,Tsévié,Kara,612.0,7.5,139.0,8192.0,41.0,70.0,Climatisé,Mercredi,Soir,Mauvaise,60.8,2,58.57142857142858,0.22712418300653595,18.533333333333335,0.09934640522875816,406.0194174757282,335872.0,81.6,1,Moyen
53,Sokodé,Dapaong,360.0,1.6,47.0,7522.0,41.0,70.0,VIP,Mardi,Matin,Moyenne,18.3,3,58.57142857142858,0.13055555555555556,29.375,0.050833333333333335,764.7668393782383,308402.0,225.0,1,Moyen
54,Dapaong,Tsévié,569.0,9.9,101.0,3880.0,36.0,70.0,Standard,Vendredi,Après-midi,Bonne,71.4,2,51.42857142857142,0.17750439367311072,10.202020202020202,0.12548330404217928,282.9281767955801,139680.0,57.474747474747474,1,Moyen
55,Atakpamé,Dapaong,184.0,9.6,133.0,11170.0,30.0,30.0,Standard,Vendredi,Soir,Bonne,69.4,3,100.0,0.7228260869565217,13.854166666666668,0.3771739130434783,78.4090909090909,335100.0,19.166666666666668,1,Élevé
56,Atakpamé,Atakpamé,408.0,5.7,1.0,7542.0,13.0,70.0,Standard,Mardi,Soir,Moyenne,76.6,2,18.571428571428573,0.0024509803921568627,0.17543859649122806,0.18774509803921569,68.35051546391753,98046.0,71.57894736842105,0,Faible
57,Tsévié,Atakpamé,441.0,9.7,178.0,11144.0,16.0,60.0,Standard,Jeudi,Après-midi,Bonne,39.8,5,26.666666666666668,0.4036281179138322,18.350515463917528,0.09024943310657596,172.94117647058826,178304.0,45.4639175257732,1,Faible
58,Dapaong,Tsévié,223.0,1.7,103.0,10094.0,6.0,30.0,Climatisé,Dimanche,Soir,Moyenne,44.2,3,20.0,0.4618834080717489,60.58823529411765,0.19820627802690585,29.601769911504423,60564.0,131.1764705882353,1,Faible
59,Dapaong,Tsévié,178.0,6.0,145.0,7757.0,16.0,30.0,VIP,Mercredi,Soir,Bonne,22.6,3,53.333333333333336,0.8146067415730337,24.166666666666668,0.12696629213483146,120.6779661016949,124112.0,29.666666666666668,1,Moyen
60,Tsévié,Tsévié,115.0,6.0,171.0,9007.0,21.0,70.0,Standard,Jeudi,Soir,Bonne,33.5,1,30.0,1.4869565217391305,28.5,0.29130434782608694,70.0,189147.0,19.166666666666668,1,Faible
61,Atakpamé,Tsévié,116.0,3.6,35.0,2124.0,30.0,30.0,Standard,Mardi,Matin,Mauvaise,50.6,2,100.0,0.3017241379310345,9.722222222222221,0.4362068965517242,67.44186046511628,63720.0,32.22222222222222,1,Élevé
62,Sokodé,Sokodé,492.0,3.8,60.0,7164.0,15.0,50.0,Standard,Mardi,Matin,Bonne,33.9,4,30.0,0.12195121951219512,15.789473684210527,0.06890243902439024,211.46131805157594,107460.0,129.47368421052633,1,Faible
63,Lomé,Atakpamé,573.0,2.0,138.0,6599.0,56.0,60.0,Climatisé,Vendredi,Matin,Moyenne,64.9,5,93.33333333333333,0.24083769633507854,69.0,0.11326352530541013,486.9195751138088,369544.0,286.5,1,Élevé
64,Dapaong,Sokodé,464.0,8.4,81.0,6059.0,30.0,30.0,Climatisé,Mercredi,Matin,Mauvaise,27.7,3,100.0,0.17456896551724138,9.642857142857142,0.05969827586206897,485.01742160278746,181770.0,55.238095238095234,1,Élevé
65,Atakpamé,Kara,195.0,11.6,160.0,7808.0,30.0,30.0,Standard,Mercredi,Matin,Mauvaise,54.3,4,100.0,0.8205128205128205,13.793103448275863,0.2784615384615384,105.7866184448463,234240.0,16.810344827586206,1,Élevé
66,Kara,Lomé,355.0,11.2,146.0,3956.0,55.0,70.0,VIP,Vendredi,Soir,Bonne,47.349999999999994,1,78.57142857142857,0.4112676056338028,13.035714285714286,0.13338028169014082,403.8262668045502,217580.0,31.696428571428573,1,Moyen
67,Atakpamé,Sokodé,312.0,6.9,31.0,2923.0,39.0,50.0,Climatisé,Mercredi,Soir,Moyenne,42.5,4,78.0,0.09935897435897435,4.492753623188405,0.1362179487179487,279.7241379310345,113997.0,45.21739130434782,1,Moyen
68,Sokodé,Atakpamé,576.0,7.2,6.0,6246.0,40.0,40.0,Standard,Mercredi,Soir,Mauvaise,75.2,4,100.0,0.010416666666666666,0.8333333333333333,0.13055555555555556,302.3622047244094,249840.0,80.0,0,Élevé
69,Tsévié,Lomé,264.0,9.8,142.0,10154.0,10.0,50.0,Climatisé,Lundi,Matin,Mauvaise,29.7,1,20.0,0.5378787878787878,14.489795918367346,0.1125,85.99348534201954,101540.0,26.93877551020408,1,Faible
70,Kara,Tsévié,585.0,5.0,21.0,5824.0,70.0,70.0,Climatisé,Jeudi,Soir,Bonne,79.7,2,100.0,0.035897435897435895,4.2,0.13623931623931623,507.4349442379182,407680.0,117.0,0,Élevé
71,Sokodé,Tsévié,355.0,3.3,103.0,6505.0,50.0,50.0,Standard,Dimanche,Matin,Bonne,16.7,4,100.0,0.29014084507042254,31.212121212121215,0.04704225352112676,1002.8248587570622,325250.0,107.57575757575758,1,Élevé
72,Dapaong,Atakpamé,609.0,1.7,177.0,7567.0,23.0,30.0,VIP,Lundi,Soir,Bonne,39.5,3,76.66666666666667,0.29064039408866993,104.11764705882354,0.06486042692939245,345.85185185185185,174041.0,358.2352941176471,1,Moyen
73,Lomé,Atakpamé,442.0,9.3,162.0,2765.0,39.0,40.0,VIP,Dimanche,Soir,Bonne,56.0,4,97.5,0.3665158371040724,17.419354838709676,0.12669683257918551,302.42105263157896,107835.0,47.526881720430104,1,Élevé
74,Kara,Atakpamé,113.0,4.3,112.0,6599.0,39.0,40.0,Climatisé,Samedi,Matin,Mauvaise,15.8,5,97.5,0.9911504424778761,26.046511627906977,0.13982300884955753,262.32142857142856,257361.0,26.27906976744186,1,Élevé
75,Dapaong,Lomé,536.0,3.5,151.0,2016.0,49.0,70.0,VIP,Jeudi,Matin,Moyenne,61.0,2,70.0,0.28171641791044777,43.142857142857146,0.11380597014925373,423.61290322580646,98784.0,153.14285714285714,1,Moyen
76,Sokodé,Tsévié,594.0,10.9,36.0,11305.0,30.0,30.0,Climatisé,Mercredi,Soir,Mauvaise,42.5,3,100.0,0.06060606060606061,3.3027522935779814,0.07154882154882154,409.6551724137931,339150.0,54.49541284403669,1,Élevé
77,Kara,Sokodé,442.0,10.2,99.0,11193.0,9.0,40.0,VIP,Vendredi,Soir,Moyenne,56.9,4,22.5,0.2239819004524887,9.705882352941178,0.12873303167420813,68.70466321243524,100737.0,43.333333333333336,1,Faible
78,Kara,Lomé,359.0,9.8,13.0,4080.0,35.0,50.0,VIP,Mardi,Soir,Mauvaise,74.3,2,70.0,0.036211699164345405,1.3265306122448979,0.20696378830083564,166.86586985391767,142800.0,36.63265306122449,0,Moyen
79,Atakpamé,Sokodé,355.0,2.1,154.0,4243.0,16.0,50.0,VIP,Mercredi,Soir,Moyenne,42.9,1,32.0,0.43380281690140843,73.33333333333333,0.12084507042253521,129.3849658314351,67888.0,169.04761904761904,1,Faible
80,Dapaong,Atakpamé,80.0,11.3,44.0,3908.0,38.0,40.0,Climatisé,Dimanche,Soir,Bonne,58.4,4,95.0,0.55,3.893805309734513,0.73,51.178451178451176,148504.0,7.0796460176991145,1,Élevé
81,Atakpamé,Sokodé,287.0,6.2,93.0,11927.0,40.0,40.0,Climatisé,Jeudi,Soir,Bonne,67.4,5,100.0,0.3240418118466899,15.0,0.23484320557491292,167.83625730994152,477080.0,46.29032258064516,1,Élevé
82,Atakpamé,Kara,355.0,6.9,62.0,6298.0,39.0,50.0,Climatisé,Mercredi,Matin,Moyenne,19.3,5,78.0,0.17464788732394365,8.98550724637681,0.0543661971830986,682.0197044334975,245622.0,51.449275362318836,1,Moyen
83,Lomé,Tsévié,52.0,9.2,107.0,11982.0,50.0,50.0,Climatisé,Lundi,Soir,Mauvaise,16.2,4,100.0,2.0576923076923075,11.630434782608697,0.31153846153846154,151.16279069767444,599100.0,5.6521739130434785,1,Élevé
84,Lomé,Tsévié,300.0,1.9,162.0,2400.0,19.0,30.0,Climatisé,Mercredi,Après-midi,Bonne,27.0,1,63.33333333333333,0.54,85.26315789473685,0.09,203.57142857142858,45600.0,157.89473684210526,1,Moyen
85,Atakpamé,Tsévié,395.0,3.1,39.0,3140.0,43.0,50.0,VIP,Jeudi,Matin,Moyenne,22.0,2,86.0,0.09873417721518987,12.580645161290322,0.05569620253164557,738.4782608695652,135020.0,127.41935483870968,1,Élevé
86,Kara,Sokodé,425.0,5.9,121.0,6599.0,40.0,40.0,Climatisé,Mardi,Matin,Mauvaise,52.2,4,100.0,0.2847058823529412,20.508474576271187,0.1228235294117647,319.5488721804511,263960.0,72.03389830508475,1,Élevé
87,Atakpamé,Kara,192.0,11.7,53.0,4136.0,11.0,50.0,VIP,Jeudi,Matin,Mauvaise,50.1,5,22.0,0.2760416666666667,4.52991452991453,0.2609375,41.330724070450096,45496.0,16.410256410256412,1,Faible
88,Atakpamé,Atakpamé,637.0,1.9,1.0,2517.0,30.0,30.0,Standard,Dimanche,Soir,Moyenne,78.4,4,100.0,0.0015698587127158557,0.5263157894736842,0.12307692307692308,240.6801007556675,75510.0,335.2631578947369,0,Élevé
89,Atakpamé,Kara,519.0,2.1,172.0,6446.0,50.0,50.0,Standard,Lundi,Soir,Mauvaise,22.3,5,100.0,0.33140655105973027,81.9047619047619,0.04296724470134875,1113.733905579399,322300.0,247.14285714285714,1,Élevé
90,Tsévié,Sokodé,649.0,6.9,151.0,11313.0,16.0,40.0,VIP,Samedi,Matin,Mauvaise,16.2,5,40.0,0.23266563944530047,21.884057971014492,0.024961479198767334,603.7209302325582,181008.0,94.05797101449275,1,Faible
91,Kara,Sokodé,130.0,4.6,29.0,3330.0,69.0,70.0,Climatisé,Mercredi,Soir,Mauvaise,22.3,4,98.57142857142858,0.2230769230769231,6.304347826086957,0.17153846153846156,384.9785407725322,229770.0,28.260869565217394,0,Élevé
92,Atakpamé,Atakpamé,524.0,6.9,131.0,1871.0,16.0,60.0,Climatisé,Lundi,Matin,Mauvaise,47.349999999999994,4,26.666666666666668,0.25,18.98550724637681,0.09036259541984731,173.4022750775595,29936.0,75.94202898550724,1,Faible
93,Sokodé,Sokodé,640.0,3.3,105.0,4301.0,8.0,60.0,VIP,Jeudi,Matin,Moyenne,56.9,4,13.333333333333334,0.1640625,31.81818181818182,0.08890624999999999,88.42832469775475,34408.0,193.93939393939394,1,Faible
94,Atakpamé,Atakpamé,480.0,8.9,96.0,9753.0,50.0,50.0,Standard,Jeudi,Matin,Mauvaise,15.6,2,100.0,0.2,10.786516853932584,0.0325,1445.7831325301204,487650.0,53.93258426966292,1,Élevé
95,Atakpamé,Atakpamé,285.0,9.1,145.0,7220.0,23.0,70.0,Standard,Mercredi,Matin,Mauvaise,25.2,3,32.857142857142854,0.5087719298245614,15.934065934065934,0.08842105263157894,250.1908396946565,166060.0,31.31868131868132,1,Faible
96,Atakpamé,Sokodé,355.0,6.9,8.0,7881.0,39.0,70.0,VIP,Samedi,Matin,Bonne,47.349999999999994,2,55.714285714285715,0.022535211267605635,1.1594202898550725,0.13338028169014082,286.3495346432265,307359.0,51.449275362318836,0,Moyen
97,Atakpamé,Tsévié,355.0,7.2,43.0,10339.0,69.0,70.0,Standard,Vendredi,Matin,Mauvaise,31.6,5,98.57142857142858,0.12112676056338029,5.972222222222222,0.08901408450704226,751.3803680981595,713391.0,49.30555555555556,1,Élevé
98,Atakpamé,Kara,642.0,7.6,99.0,10378.0,41.0,50.0,VIP,Vendredi,Soir,Bonne,28.2,3,82.0,0.1542056074766355,13.026315789473685,0.04392523364485981,901.4383561643835,425498.0,84.47368421052632,1,Élevé
99,Kara,Lomé,283.0,10.1,153.0,3572.0,16.0,40.0,Climatisé,Mercredi,Après-midi,Moyenne,46.5,1,40.0,0.5406360424028268,15.14851485148515,0.16431095406360424,95.32631578947368,57152.0,28.01980198019802,1,Faible
100,Atakpamé,Sokodé,574.0,6.9,145.0,10279.0,5.0,40.0,Climatisé,Lundi,Soir,Bonne,39.2,5,12.5,0.25261324041811845,21.014492753623188,0.06829268292682927,71.39303482587064,51395.0,83.18840579710144,1,Faible
101,Kara,Dapaong,540.0,6.9,133.0,3985.0,48.0,50.0,Standard,Mardi,Soir,Mauvaise,70.2,4,96.0,0.2462962962962963,19.27536231884058,0.13,364.0449438202247,191280.0,78.26086956521739,1,Élevé
102,Dapaong,Dapaong,473.0,10.1,68.0,6599.0,50.0,50.0,VIP,Jeudi,Matin,Moyenne,20.8,2,100.0,0.14376321353065538,6.732673267326733,0.04397463002114165,1084.8623853211009,329950.0,46.831683168316836,1,Élevé
103,Atakpamé,Atakpamé,164.0,6.9,71.0,6599.0,40.0,40.0,Standard,Lundi,Soir,Moyenne,17.5,3,100.0,0.4329268292682927,10.289855072463768,0.10670731707317073,354.5945945945946,263960.0,23.768115942028984,1,Élevé
104,Kara,Dapaong,203.0,4.5,71.0,8666.0,20.0,30.0,Standard,Samedi,Soir,Bonne,78.4,4,66.66666666666666,0.3497536945812808,15.777777777777779,0.3862068965517242,51.13350125944584,173320.0,45.111111111111114,1,Moyen
105,Tsévié,Kara,415.0,9.2,75.0,2949.0,40.0,40.0,Climatisé,Mercredi,Matin,Moyenne,19.0,3,100.0,0.18072289156626506,8.152173913043478,0.04578313253012048,830.0,117960.0,45.108695652173914,1,Élevé
106,Sokodé,Sokodé,228.0,8.8,87.0,6599.0,60.0,60.0,Climatisé,Jeudi,Soir,Moyenne,44.7,5,100.0,0.3815789473684211,9.886363636363635,0.19605263157894737,299.34354485776805,395940.0,25.909090909090907,1,Élevé
107,Atakpamé,Kara,93.0,3.0,128.0,7301.0,21.0,40.0,Standard,Mardi,Matin,Bonne,62.6,5,52.5,1.3763440860215055,42.666666666666664,0.6731182795698925,30.70754716981132,153321.0,31.0,1,Moyen
108,Dapaong,Sokodé,206.0,11.0,93.0,11013.0,25.0,50.0,Standard,Vendredi,Matin,Moyenne,50.0,5,50.0,0.45145631067961167,8.454545454545455,0.24271844660194175,100.98039215686275,275325.0,18.727272727272727,1,Faible
109,Atakpamé,Lomé,104.0,3.5,89.0,8579.0,50.0,50.0,Standard,Mercredi,Soir,Bonne,17.5,4,100.0,0.8557692307692307,25.428571428571427,0.16826923076923078,281.0810810810811,428950.0,29.714285714285715,1,Élevé
110,Kara,Tsévié,173.0,2.2,64.0,6512.0,6.0,30.0,VIP,Samedi,Soir,Bonne,76.4,2,20.0,0.3699421965317919,29.09090909090909,0.44161849710982665,13.410852713178294,39072.0,78.63636363636363,1,Faible
111,Tsévié,Lomé,563.0,1.5,132.0,5541.0,40.0,40.0,VIP,Mercredi,Matin,Mauvaise,52.6,2,100.0,0.2344582593250444,88.0,0.09342806394316164,420.14925373134326,221640.0,375.3333333333333,1,Élevé
